horizon,response,impulse,value
15,Stress,A,1.007452102897731
15,Stress,SG_tau,-0.04364201660774164
15,Stress,Phi_tau,0.00335312141709428
15,A,Stress,-0.05040844024711951
15,A,A,-0.10847935343816902
15,A,SG_tau,0.004724787295574127
15,A,Phi_tau,-0.0005768986595913379
15,SG_tau,Stress,0.34047319479208643
15,SG_tau,A,0.7318451778346988
15,SG_tau,SG_tau,-0.03191827698441896
15,SG_tau,Phi_tau,0.004136333516479577
15,Phi_tau,Stress,5.325480771355617
15,Phi_tau,A,10.276362463128557
15,Phi_tau,SG_tau,-0.5380617798172742
15,Phi_tau,Phi_tau,1.09974931737427
16,Stress,Stress,0.43657229468721004
16,Stress,A,0.945211528182863
16,Stress,SG_tau,-0.04080351089665285
16,Stress,Phi_tau,0.0016094218736715411
16,A,Stress,-0.04731849510293361
16,A,A,-0.10208676485176982
16,A,SG_tau,0.004430152288638509
16,A,Phi_tau,-0.00039423437770515603
16,SG_tau,Stress,0.31976448131810975
16,SG_tau,A,0.6892434412396929
16,SG_tau,SG_tau,-0.029945017059245252
16,SG_tau,Phi_tau,0.0029124353917021426
16,Phi_tau,Stress,5.546205447665595
16,Phi_tau,A,10.754121481313998
16,Phi_tau,SG_tau,-0.5587011245042666
16,Phi_tau,Phi_tau,1.100799772912695
17,Stress,Stress,0.40791526340206335
17,Stress,A,0.8851078743736133
17,Stress,SG_tau,-0.03806766320912141
17,Stress,Phi_tau,-5.529559335187839e-05
17,A,Stress,-0.04433496034540737
17,A,A,-0.09587518220413781
17,A,SG_tau,0.0041454970018398075
17,A,Phi_tau,-0.00021909054429760625
17,SG_tau,Stress,0.29975442471746383
17,SG_tau,A,0.6477268101447611
17,SG_tau,SG_tau,-0.028036647991904667
17,SG_tau,Phi_tau,0.0017367999279620204
17,Phi_tau,Stress,5.752557531976274
17,Phi_tau,A,11.201679496585372
17,Phi_tau,SG_tau,-0.5779678692764751
17,Phi_tau,Phi_tau,1.10101193446262
18,Stress,Stress,0.38030815443606786
18,Stress,A,0.8271318079074771
18,Stress,SG_tau,-0.035432345394255126
18,Stress,Phi_tau,-0.0016427331176756127
18,A,Stress,-0.04145711102630428
18,A,A,-0.08985978672173253
18,A,SG_tau,0.0038708527886124372
18,A,Phi_tau,-5.156746369219833e-05
18,SG_tau,Stress,0.28044402977896243
18,SG_tau,A,0.6074492864607189
18,SG_tau,SG_tau,-0.026194191065232818
18,SG_tau,Phi_tau,0.0006109930819565342
18,Phi_tau,Stress,5.945065500632157
18,Phi_tau,A,11.620132020352695
18,Phi_tau,SG_tau,-0.5959127690486534
18,Phi_tau,Phi_tau,1.1004250325327651
